docid,author,datetype,enddate,enumcron,filepath,genres,imprint,imprintdate,locnum,oclc,place,recordid,sampledas,startdate,subjects,title,volgenre
uc1.b3638697,"Coleman, D. C. (Donald Cuthbert),",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b3638697.basic.json.bz2,Bibliographies|NotFiction|Biography,Oxford|Clarendon Press|1963.,1963,DA378.B3C6 1963,399160,enk,000108141,bio,1963,"Banks, John|Sir, bart|1627-1699","Sir John Banks, baronet and businessman;",bio
mdp.39015005117588,"Bierman, John.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015005117588.basic.json.bz2,NotFiction|Catalog|Biography,New York|Viking Press|1981.,1981,D809.S8W323,7276699,nyu,000139504,bio,1981,"20th century|Diplomats|1918-1945|Hungary|Sweden|Wallenberg, Raoul|World War, 1939-1945|1912-1947|Jews|Holocaust, Jewish (1939-1945)|History|Civilian relief|Biography","Righteous gentile :The story of Raoul Wallenberg, missing hero of the Holocaust",bio
inu.39000001008825,,s,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.39000001008825.basic.json.bz2,NotFiction|Biography,Moscow;Progress Publishers;c1984.,1984,TL789.85.G3F57 1984,12663085,rur,006054153,bio,1984,"Biography|1934-1968|Astronauts|Soviet Union|Gagarin, Yuri Alekseyevich",First man in space,bio
pst.000020744755,"Miller, Donald L.,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/pst.000020744755.basic.json.bz2,NotFiction|Biography|Bibliographies,Pittsburgh;University of Pittsburgh Press;1992.,1992,CT275.M734M55 1992,24378306,xxu,012268680,bio,1992,"Biography|United States|Mumford, Lewis|Architects|1895-1990|Social reformers|City planners","Lewis Mumford, a life",bio
uc1.b4315292,"Brown, Francis,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.b4315292.basic.json.bz2,Biography|NotFiction,"New York;Dodd, Mead & company;1935.",1935,CT275.H797B7,305966,nyu,001599540,bio,1935,"1866-1930|Huyck, Edmund Niles",Edmund Niles Huyck,bio
mdp.39015066092142,"Smith, Arthur D. Howden",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015066092142.basic.json.bz2,Biography|NotFiction,New York|London|Funk & Wagnalls Company|1940.,1940,E748.H77S5,456992,nyu,470931,bio,1940,"1858-1938|United States|Treaty of Versailles|President (1913-1921 : Wilson)|1913-1921|House, Edward Mandell|Politics and government|(1919)|World War, 1914-1918",Mr. House of Texas,bio
inu.30000007129475,"Churchill, Winston,",m,1938,v.1,/Volumes/TARDIS/work/hathifiles/counts/inu.30000007129475.basic.json.bz2,Biography|NotFiction,New York|C. Scribner' sons|1933-38.,1933-1938,,769250,nyu,107204,bio,1933,"1650-1722|History|Duke of|Marlborough, John Churchill|1660-1714","Marlborough, his life and times",bio
mdp.39015039575355,"Jacob, Violet,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015039575355.basic.json.bz2,NotFiction|Biography,London|J. Murray|1931,1931,DA758.3.E7J8,3678559,enk,000108053,bio,1931,Erskine family|Dun house,The lairds of Dun,bio
uc1.32106007135350,"Clausen, Jan,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.32106007135350.basic.json.bz2,NotFiction|Bibliographies,"Brooklyn, NY;Long Haul Press;c1982.",1982,,9491271,nyu,007118798,poe,1982,Women authors|History and criticism|Lesbianism and literature|Feminism and literature|American poetry|20th century,A movement of poets,bio
mdp.39015003841460,"Hibbin, Nina.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015003841460.basic.json.bz2,NotFiction|Indexes|Biography,London|A. Zwemmer|New York|A. S. Barnes|c1969,1969,PN1998.A2H45 1969,78211,enk,000000935,bio,1969,"Europe, Eastern|Motion pictures|Indexes|Biography",Eastern Europe;,bio
mdp.39015011343046,"Manning, Paul.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015011343046.basic.json.bz2,Biography|NotFiction,"Secaucus, N.J.|Stuart|c1981.",1981,DD247.B65M36,7550642,nju,139139,bio,1981,"National socialism|War criminals|1900-1945|Germany|Biography|Bormann, Martin","Martin Bormann, Nazi in exile",bio
mdp.39015059395940,"Lowndes, Marie Belloc,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015059395940.basic.json.bz2,Biography|NotFiction,"New York|Dodd, Mead & company|1942.",1942,PR4099.B2Z7 1942,486484,nyu,114768,bio,1942,"Belloc, Bessie Rayner|1829-1925","I, too, have lived in Arcadia",bio
wu.89094713047,"Whibley, Charles,",s,    ,v.1,/Volumes/TARDIS/work/hathifiles/secondcounts/wu.89094713047.basic.json.bz2,NotFiction|Biography,Edinburgh|London|W. Blackwood and sons|1925.,1925,DA565.R85W5,1629927,stk,000110908,bio,1925,"1818-1906|7th duke of|Rutland, John James Robert Manners",Lord John Manners and his friends,bio
mdp.39015014624020,"Walker, David,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015014624020.basic.json.bz2,Juvenile audience|Bibliographies|Biography|NotFiction,London|Oxford U. P.|1968.,1968,DA197.W3,40891,enk,310468,bio,1968,William|King of England|I|Juvenile literature|1027 or 8-1087,William the Conqueror,bio
