docid,author,datetype,enddate,enumcron,filepath,genres,imprint,imprintdate,locnum,oclc,place,recordid,sampledas,startdate,subjects,title,volgenre
uc1.$b785415,"Pauck, Wilhelm,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.$b785415.basic.json.bz2,Biography|NotFiction|Bibliographies,New York;Oxford University Press;1968.,1968,,386682,nyu,001592425,bio,1968,"Troeltsch, Ernst|Harnack, Adolf von|1851-1930|1865-1923",Harnack and Troeltsch; two historical theologians,bio
uc1.b4920183,"Rosenfeld, Paul,",r,1920,,/Volumes/TARDIS/work/hathifiles/counts/uc1.b4920183.basic.json.bz2,Biography|NotFiction,"Freeport, N.Y.|Books for Libraries Press|1968",1968,,449291,nyu,9496668,bio,1968,20th century|Music|19th century|History and criticism|Composers,Musical portraits: interpretations of twenty modern composers,bio
mdp.39015002640368,"Lewis, Finlay.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015002640368.basic.json.bz2,NotFiction|Biography,New York|Harper & Row|c1980.,1980,E840.8.M66L48 1980,5197024,nyu,000044354,bio,1980,"1928-|Vice-Presidents|Legislators|Senate|Congress|United States|Mondale, Walter F|Biography",Mondale,bio
uc1.b4938353,"Mason, Philip.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.b4938353.basic.json.bz2,Bibliographies|NotFiction|Biography,New York|Harper & Row|1975,1975,,1501966,nyu,000035349,bio,1975,"Kipling, Rudyard|1865-1936",Kipling,bio
uc1.$b463083,"Reid, H. M. B.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.$b463083.basic.json.bz2,Biography|Bibliographies|NotFiction,"Glasgow|Maclehose, Jackson and Co.|1923.",1923,BX9099.R43,6888027,stk,1594295,bio,1923,University of Glasgow|Biography,The divinity professors in the University of Glasgow,bio
mdp.39015038024116,"Dipple, Geoffrey.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015038024116.basic.json.bz2,Bibliographies|ContainsBiogMaterial|NotFiction,"Aldershot, England|Scolar Press|Brookfield, Vt., USA|Ashgate Pub. Co.|c1996.",1996,BR350.E24D57 1996,34046426,enk,3094410,other,1996,"Eberlin von Günzburg, Johann|Anti-clericalism|Reformation|Switzerland|History|Germany|Switzerland, German-speaking|Church history|Friars|16th century|ca. 1470-1533",Antifraternalism and anticlericalism in the German Reformation,bio
mdp.39015017055917,"Hunter, Sam,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015017055917.basic.json.bz2,UnknownGenre,Chicago|William and Noma Copley Foundation|1963,1963,,2919089,ilu,1981537,other,1963,"Metcalf, James|1925-",Metcalf,bio
mdp.39015022276631,"Miller, Edwin Haviland.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015022276631.basic.json.bz2,NotFiction|Biography|Bibliographies,Iowa City;University of Iowa Press;1991.,1991,PS1881.M48 1991,23583260,iau,002533389,bio,1991,"Novelists, American|19th century|Biography|Salem (Mass.)|Hawthorne, Nathaniel|1804-1864",Salem is my dwelling place,bio
mdp.39015010534595,"Taylor, Robert Lewis.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015010534595.basic.json.bz2,NotFiction|Biography,"Garden City, N.Y.|Doubleday|1952.",1952,DA566.9.C5T3,400670,nyu,000110002,bio,1952,"1874-1965|Churchill, Winston",Winston Churchill;,bio
mdp.39015023589388,"Huque, Ahmed Shafiqul.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015023589388.basic.json.bz2,Bibliographies|NotFiction,Dhaka|University Press|1988.,1988,JS7100.2.H87 1988,19908596,bg ,2213727,other,1988,Political participation|Bangladesh|Local government,Politics and administration in Bangladesh,bio
mdp.39015011319152,"Gunner, Jeanne,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015011319152.basic.json.bz2,NotFiction|Bibliographies,New York;Garland Pub.;1985.,1985,PS3509.L43Z68135 1985,11866974,nyu,000430241,poe,1985,"19th century|Literature|Waste land|Eliot, T. S|History and criticism|1888-1965|English poetry|(Thomas Stearns)|Knowledge|Romanticism",T.S. Eliot's romantic dilemma,bio
mdp.39015064834529,"Scherer, James Augustin Brown,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015064834529.basic.json.bz2,Biography|NotFiction,Tokyo|The Hokuseido press|1936.,1936,DS883.S35,2295966,ja ,1606417,bio,1936,"1848-1934|1849-1912|Itō, Hirobumi|Nogi, Maresuke|1841-1909|Tōgō, Heihachirō","Three Meiji leaders: Ito, Togo, Nogi",bio
mdp.39015011703256,"Raymond, E. T.,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015011703256.basic.json.bz2,Biography|NotFiction,"Boston|Little, Brown and company|1920.",1920,DA566.9.B3T5 1920,1654511,mau,236084,bio,1920,"Balfour, Arthur James Balfour|1848-1930|Earl of",A life of Arthur James Balfour,bio
mdp.39015013524304,"Twain, Mark,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015013524304.basic.json.bz2,Fiction,New York;Citadel Press;c1963,1963,,423718,nyu,000626195,fic,1963,,The forgotten writings of Mark Twain,bio
inu.30000103168641,"Lyon, Peter,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.30000103168641.basic.json.bz2,Biography|NotFiction|Bibliographies,"Deland, Fla.;Everett/Edwards;1967",1967,PN4874.M35L9 1967,2122974,flu,007593356,bio,1967,"McClure's magazine|McClure, S. S|1857-1949|(Samuel Sidney)",Success story;,bio
inu.30000099859658,"Judge, Philip.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.30000099859658.basic.json.bz2,Biography|Bibliographies|NotFiction,"Tunbridge Wells, Kent|Spellmount|New York|Hippocrene Books|1985.",1985,PN2598.C15J83 1985,13643605,enk,464411,bio,1985,"Caine, Michael|Motion picture actors and actresses|Biography|Great Britain",Michael Caine,bio
inu.30000047621085,"Wood, Anthony a,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/inu.30000047621085.basic.json.bz2,NotFiction|Biography,London|Wishart & company|1932.,1932,DA378.W6A45,825330,enk,000108504,bio,1932,University of Oxford|History,The life & times of Anthony à Wood,bio
mdp.39015008577044,"Gutman, Bill.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015008577044.basic.json.bz2,Juvenile audience|Biography|NotFiction,"New York|Dodd, Mead|c1977.",1977,GV697.A1G88,3017286,nyu,251897,bio,1977,Women athletes|Juvenile literature|Biography,Modern women superstars,bio
mdp.39015016653530,"Kelly, Bernice M.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015016653530.basic.json.bz2,NotFiction|Biography|Bibliographies,"London;New York;Published for the National Museum of African Art Branch, Smithsonian Institution Libraries, Washington, DC [by] Hans Zell;1993.",1993,N7399.N5K46 1993,27035873,enk,002952114,bio,1993,"Biography|Artists|Bibliography|20th century|Nigeria|Art, Nigerian",Nigerian artists,bio
mdp.39015011553461,"Landreth, Helen.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015011553461.basic.json.bz2,Bibliographies|NotFiction|Biography,Dublin|Browne and Nolan|1949,1949,DA948.6,5516550,ie ,000194440,bio,1949,"Emmet, Robert|1778-1803",The pursuit of Robert Emmet,bio
mdp.39015014277993,"Baumann, Arthur Anthony,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015014277993.basic.json.bz2,NotFiction|Biography,"London|E. Benn, limited|1927.",1927,,396336,enk,000107506,bio,1927,Biography|Statesmen|Great Britain,The last Victorians,bio
mdp.39015003836973,"Jensen, Paul M.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015003836973.basic.json.bz2,NotFiction|Biography|Bibliographies,South Brunswick;A. S. Barnes;1974,1974,PN2287.K25J4,800440,nju,001463377,bio,1974,"Karloff, Boris|1887-1969",Boris Karloff and his films,bio
uc2.ark:/13960/t5j961m7c,"Prout, Henry G.",t,1921,,/Volumes/TARDIS/work/hathifiles/counts/uc2.ark+=13960=t5j961m7c.basic.json.bz2,Biography|NotFiction,New York|C. Scribner|1922 [c1921,1922,T40.W4P7 1922,2040116,nyu,1517046,bio,1922,"1846-1914|Westinghouse, George",A life of George Westinghouse,bio
mdp.39015030945938,"Anand, Mulk Raj,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015030945938.basic.json.bz2,Autobiography|NotFiction,Calcutta|A Writers Workshop publication|c1973.,1973,PR9499.3.A5Z53 1973,1676108,ii ,44123,other,1973,"1905-2004|Correspondence|Anand, Mulk Raj|Cowasjee, Saros",Author to critic,bio
uc1.b4400989,"Byron, William.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.b4400989.basic.json.bz2,Biography|Bibliographies|NotFiction,"Garden City, N.Y.|Doubleday|1978.",1978,,4006940,nyu,176986,bio,1978,"Biography|1547-1616|Classical period, 1500-1700|Authors, Spanish|Cervantes Saavedra, Miguel de","Cervantes, a biography",bio
mdp.39015003330944,"Kogel, Renee.",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015003330944.basic.json.bz2,Bibliographies|NotFiction|Biography,Genève|Droz|1972.,1972,B765.C464K6 1972,727541,sz ,000010507,bio,1972,"1541-1603|Charron, Pierre",Pierre Charron,bio
inu.30000020696682,"Bristow, Joseph.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.30000020696682.basic.json.bz2,NotFiction|Bibliographies,New York;London;Harvester Wheatsheaf;1991.,1991,,24910727,nyu,002505879,poe,1991,"1812-1889|English poetry|Criticism and interpretation|Browning, Robert",Robert Browning,bio
mdp.39015034421431,"Edwards, Lee.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015034421431.basic.json.bz2,Biography|Bibliographies|NotFiction,"Washington, D.C.|Regnery Pub.|c1995.",1995,E748.G64E38 1995,32274878,dcu,2999582,bio,1995,"United States|Goldwater, Barry M|(Barry Morris)|Senate|Congress|Legislators|Presidential candidates|1909-1998|Biography",Goldwater,bio
mdp.39015046443464,"Edwards, Anne,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015046443464.basic.json.bz2,Bibliographies|NotFiction|Biography,New Haven [Conn.|Ticknor & Fields|1983.,1983,PS3525.I972Z65 1983,9081428,ctu,000235627,bio,1983,"20th century|Mitchell, Margaret|Novelists, American|1900-1949|Biography",Road to Tara,bio
mdp.39015015184545,"Wagenknecht, Edward,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015015184545.basic.json.bz2,Biography|NotFiction,Boston|New York|Houghton Mifflin company|1929.,1929,PR4581.W2,961558,mau,1019959,bio,1929,"Dickens, Charles|1812-1870",The man Charles Dickens,bio
uc1.$b576997,"Holt, Edgar George,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/uc1.$b576997.basic.json.bz2,NotFiction|Biography,Sydney|Angus and Robertson|1969,1969,DU114.M4H6,114487,at ,000001605,bio,1969,"1894-1978|Menzies, Robert",Politics is people;,bio
mdp.39015017684427,"Digby, Margaret,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015017684427.basic.json.bz2,Biography|NotFiction,Oxford;Blackwell;1949.,1949,DA965.P6D65,1404260,enk,000196103,bio,1949,"Plunkett, Horace Curzon|Sir|1854-1932",Horace Plunkett;,bio
mdp.39015009177174,"Driberg, Tom,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015009177174.basic.json.bz2,NotFiction|Biography,London|Weidenfeld and Nicolson|1956,1956,DA566.9.B37D7 1956,1658564,enk,000110049,bio,1956,"1879-1964|Baron|Beaverbrook, Max Aitken",Beaverbrook: a study in power and frustration,bio
mdp.39015051391061,Somboon Suksamran.,s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015051391061.basic.json.bz2,NotFiction|Biography,Singapore;Institute of Southeast Asian Studies;1984.,1984,,11246955,si ,000378090,bio,1984,Thailand|Armed Forces|Political activity|Legislators|Biography,Military elite in Thai politics,bio
mdp.39015030656238,"Carswell, Donald,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015030656238.basic.json.bz2,NotFiction|Biography,London|Constable and company ltd.|1927.,1927,DA816.A1C3,344735,enk,000152581,bio,1927,"1846-1894|Sir|1851-1923|1809-1895|Overtoun, John Campbell White|(William Robertson)|1856-1915|baron|Drummond, Henry|Blackie, John Stuart|Smith, W. Robertson|1843-1908|1851-1897|Nicoll, W. Robertson|Hardie, James Keir",Brother Scots,bio
uc1.$b196646,,m,1946,v.1-3,/Volumes/TARDIS/work/hathifiles/counts/uc1.$b196646.basic.json.bz2,Bibliographies|Catalog|NotFiction,New York|P.C. Duschnes|1941-46?,1941-1946,,28254295,nyu,6659294,other,1941,"Catalogs, Booksellers'|United States|Rare books|Manuscripts|Catalogs",Original leaves from famous printed books & from medieval manuscripts,bio
uc1.$b782414,"Browne, Lewis,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.$b782414.basic.json.bz2,Biography|Bibliographies|NotFiction,New York|The Literary Guild of America|1927.,1927,,1126746,nyu,7951155,bio,1927,"1797-1856|Heine, Heinrich",That man Heine;,bio
mdp.39015053374800,"Nicholls, David,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015053374800.basic.json.bz2,Juvenile audience|Bibliographies|Biography|NotFiction,"Santa Barbara, CA|ABC-CLIO|1999.",1999,DC203.N53 1999,40996105,cau,4184440,bio,1999,"1769-1821|Napoleon|Campaigns|Emperor of the French|Napoleonic Wars, 1800-1815|Kings and rulers|History|I|1789-1815|Biography",Napoleon,bio
mdp.39015004254895,"Murdock, Kenneth Ballard,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015004254895.basic.json.bz2,Bibliographies|NotFiction|Biography,New York|The Macmillan company|1939.,1939,DA377.M8,912154,nyu,000108260,bio,1939,"Falkland, Lucius Cary|1610?-1643|Earl of|1647-1680|Rochester, John Wilmot|Viscount|Lady|Cary, Elizabeth|1585 or 6-1639",The sun at noon;,bio
mdp.39015000679970,"Mehring, Walter,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015000679970.basic.json.bz2,UnknownGenre,Indianapolis|Bobbs-Merrill|1951,1951,,492184,inu,1904369,other,1951,"1896-1981|Books and reading|Mehring, Walter",The lost library,bio
inu.32000009886757,"Benson, E. F.",s,1933,,/Volumes/TARDIS/work/hathifiles/counts/inu.32000009886757.basic.json.bz2,Biography|Bibliographies|NotFiction,"London|New York|Longmans, Green and co.|1934, 1933.",1934,,3662866,enk,5945230,bio,1934,VII|King of Great Britain|Edward|1841-1910,King Edward VII,bio
uc1.b4475882,"Hildebrand, Lorraine Barker.", ,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.b4475882.basic.json.bz2,UnknownGenre,Tacoma|Washington State American Revolution Bicentennial Commission|1977,1977,,3759768,wau,10087486,other,1977,Washington (State)|History|Chinese Americans|Race relations,"Straw hats, sandals, and steel",bio
mdp.39015046440742,"Gatiss, Mark.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015046440742.basic.json.bz2,Biography|Bibliographies|NotFiction,London|Cassell|1995.,1995,,33101347,enk,3031047,bio,1995,"Motion picture producers and directors|Whale, James|United States|Biography|d. 1957","James Whale : a biography, or, The would-be gentleman",bio
uc1.$b150875,"Bailey, Hugh C.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.$b150875.basic.json.bz2,Biography|Bibliographies|NotFiction,"Coral Gables, Fla.|University of Miami Press|1968",1968,,387747,flu,1593213,bio,1968,"1865-1877|History|Murphy, Edgar Gardner|1869-1913","Edgar Gardner Murphy, gentle progressive",bio
inu.30000042202980,"Elwin, Verrier,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.30000042202980.basic.json.bz2,Biography|Bibliographies|NotFiction,"Delhi|Published for the Christian Institute for the Study of Religion & Society, Bangalore, by I.S.P.C.K.|1993.",1993,GN21.E48A3 1993,30782480,ii ,6811319,bio,1993,"Social life and customs|Scheduled tribes|Anthropologists|Folklore|1902-1964|Elwin, Verrier|India|Biography",Din-sevak,bio
mdp.39015005022044,"Weingartner, James J.,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015005022044.basic.json.bz2,NotFiction|Biography|Bibliographies,Carbondale;Southern Illinois University Press;1974,1974,DD253.65.W44 1974,934677,ilu,000414653,bio,1974,"Waffen-SS|Leibstandarte SS Adolf Hitler|Germany|World War, 1939-1945",Hitler's guard;,bio
mdp.39015009380414,"Lansdowne, Henry William Edmund,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015009380414.basic.json.bz2,Biography|NotFiction,Boston;New York;Houghton Mifflin company;1925.,1925,DC197.5.L3,1915829,mau,000604786,bio,1925,Napoleon|1769-1821|I|Emperor of the French,The first Napoleon;,bio
uc1.$b722093,,s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.$b722093.basic.json.bz2,Biography|NotFiction,Boston|House of Edinboro|1954.,1954,,3527545,mau,7921650,bio,1954,"Ogueri, Eze Anyanwu",Seven amazing days in the life of Eze A. Ogueri II,bio
inu.30000061173567,"Du Boulay, Shirley.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/inu.30000061173567.basic.json.bz2,NotFiction|Biography|Bibliographies,New York;Doubleday;1998.,1998,BX4705.G6226D8 1998,39505508,nyu,005992961,bio,1998,"Clergy|Biography|Catholic Church|India|England|Benedictines|Griffiths, Bede|1906-",Beyond the darkness,bio
mdp.39015050496150,"Trumbull, John,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015050496150.basic.json.bz2,Poetry,Austin|University of Texas Press|1962,1962,PS852.P7 1962,217426,txu,1187546,poe,1962,"Poetry|Revolution, 1775-1783",Satiric poems,poe
mdp.39076001057723,"Lieder, Paul Robert,",s,    ,v.1,/Volumes/TARDIS/work/hathifiles/counts/mdp.39076001057723.basic.json.bz2,NotFiction,New York|London|Harper & Brothers|1938.,1938,PR1221.L47,3703883,xx ,6609325,poe,1938,19th century|English poetry,Eminent British poets of the nineteenth century. Edited by Paul Robert Lieder,poe
uiug.30112012795032,"Dunbar, Paul Laurence,",r,1900,,/Volumes/TARDIS/work/hathifiles/counts/uiug.30112012795032.basic.json.bz2,NotFiction,"Miami, Fla.;Mnemosyne;1969?",1969,PS1556.P6 1969,53461,flu,100406003,poe,1969,,Poems of cabin and field,poe
uc1.32106006954520,"Brickell, Alfred.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.32106006954520.basic.json.bz2,NotFiction|Bibliographies,London;T. F. Unwin;1924.,1924,,4870786,enk,007103107,poe,1924,Translations into English|English poetry|French poetry,"Few, but roses",poe
mdp.39015004157809,"Smith, Hallett Darius,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015004157809.basic.json.bz2,Bibliographies|NotFiction,Cambridge|Harvard University Press|1952.,1952,PR531.S6,349247,mau,1111856,poe,1952,"History and criticism|Early modern, 1500-1700|English poetry",Elizabethan poetry,poe
uc2.ark:/13960/t92808d0b,"Tree, Iris,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc2.ark+=13960=t92808d0b.basic.json.bz2,NotFiction,London|Lane|1920.,1920,,13941471,nyu,7704252,poe,1920,,Poems,poe
mdp.39015016424403,"Hendriks, Arthur Lemiere,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015016424403.basic.json.bz2,NotFiction,London;A. Deutsch;1965,1965,,367308,enk,000481579,poe,1965,Poetry|Jamaica|Description and travel,On this mountain,poe
mdp.39015000540065,"Patchen, Kenneth,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015000540065.basic.json.bz2,Poetry,New York|New Directions|1954,1954,PS3531.A764F4,1711017,nyu,001376326,poe,1954,,"The famous boating party, and other poems in prose",poe
uc1.32106013794919,,s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.32106013794919.basic.json.bz2,NotFiction|Bibliographies,"Aldington, Kent, [Eng.;The Hand & Flower Press;1958?",1958,,10568194,enk,007136496,poe,1958,African American authors|American poetry,Black and unknown bards,poe
mdp.39015002270885,"Miłosz, Czesław.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015002270885.basic.json.bz2,NotFiction,"Garden City, N.Y.|Doubleday|1965.",1965,,322539,nyu,981028,poe,1965,Polish poetry|Translations into English|English poetry,Postwar Polish poetry,poe
uc1.b4104105,"Pound, Ezra,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.b4104105.basic.json.bz2,Poetry,New York;Boni and Liveright;1921,1921,PS3531.O82P55,1506335,nyu,001029156,poe,1921,,Poems 1918-21,poe
uc1.b4384759,"Swenson, May.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc1.b4384759.basic.json.bz2,Poetry,New York;Scribner;1963,1963,PS3537.W4786A6 1963,3152996,nyu,001029530,poe,1963,,To mix with time,poe
mdp.39015025812747,"Bishop, John Peale,",s,    ,,/Volumes/TARDIS/work/hathifiles/secondcounts/mdp.39015025812747.basic.json.bz2,Poetry,New York|Scribner|1948.,1948,PS3503.I79A17 1948,406822,nyu,001028211,poe,1948,,The collected poems of John Peale Bishop,poe
uiuo.ark:/13960/t8rb83r1w,"Dees, Frances (Sherwood)",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uiuo.ark+=13960=t8rb83r1w.basic.json.bz2,NotFiction,New York;Vantage Press;c1951,1951,PS3507.E28P7,5418901,nyu,11697909,poe,1951,,Prairie parsonage poems,poe
uc2.ark:/13960/t77s7t85d,"Robinson, Edwin Arlington,",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/uc2.ark+=13960=t77s7t85d.basic.json.bz2,NotFiction,New York|Macmillan|1922.,1922,PS3535.O25A17 1922b,1238735,nyu,1911135,poe,1922,,Collected poems,poe
mdp.39015030941903,"Selwyn, Lucy.",s,    ,,/Volumes/TARDIS/work/hathifiles/counts/mdp.39015030941903.basic.json.bz2,NotFiction,London;Murray;1953,1953,PR1175.S398,2103998,enk,001372194,poe,1953,English poetry,The Apollo anthology,poe
uiug.30112052713002,"Rochester, John Wilmot,", ,    ,,/Volumes/TARDIS/work/hathifiles/counts/uiug.30112052713002.basic.json.bz2,NotFiction,Menston;Scolar P.;1971.,1971,PR3669.R2A68 1680a,164541,enk,100209750,poe,1971,,"Poems on several occasions, (1680?)",poe
